"","x"
"1","name"
"2","sample.ST01.0.5.rep.1.MB_S42"
"3","sample.ST01.0.5.rep.1.MN_S93"
"4","sample.ST01.0.5.rep.2.MB_S38"
"5","sample.ST01.0.5.rep.2.MN_S96"
"6","sample.ST01.0.rep.1.MB_S8"
"7","sample.ST01.0.rep.1.MN_S57"
"8","sample.ST01.0.rep.2.MB_S61"
"9","sample.ST01.0.rep.2.MN_S37"
"10","sample.ST01.1.5.rep.1.MB_S67"
"11","sample.ST01.1.5.rep.1.MN_S32"
"12","sample.ST01.1.5.rep.2.MB_S11"
"13","sample.ST01.1.5.rep.2.MN_S73"
"14","sample.ST01.1.rep.1.MB_S19"
"15","sample.ST01.1.rep.1.MN_S55"
"16","sample.ST01.1.rep.2.MB_S70"
"17","sample.ST01.1.rep.2.MN_S51"
"18","sample.ST01.10.rep.1.MB_S7"
"19","sample.ST01.10.rep.1.MN_S1"
"20","sample.ST01.10.rep.2.MB_S79"
"21","sample.ST01.10.rep.2.MN_S44"
"22","sample.ST01.2.5.rep.1.MB_S63"
"23","sample.ST01.2.5.rep.1.MN_S60"
"24","sample.ST01.2.5.rep.2.MB_S48"
"25","sample.ST01.2.5.rep.2.MN_S94"
"26","sample.ST01.2.rep.1.MB_S62"
"27","sample.ST01.2.rep.1.MN_S68"
"28","sample.ST01.2.rep.2.MB_S6"
"29","sample.ST01.2.rep.2.MN_S87"
"30","sample.ST01.3.5.rep.1.MB_S12"
"31","sample.ST01.3.5.rep.1.MN_S81"
"32","sample.ST01.3.5.rep.2.MB_S41"
"33","sample.ST01.3.5.rep.2.MN_S69"
"34","sample.ST01.3.rep.1.MB_S40"
"35","sample.ST01.3.rep.1.MN_S50"
"36","sample.ST01.3.rep.2.MB_S89"
"37","sample.ST01.3.rep.2.MN_S88"
"38","sample.ST01.4.5.rep.1.MB_S47"
"39","sample.ST01.4.5.rep.1.MN_S26"
"40","sample.ST01.4.5.rep.2.MB_S45"
"41","sample.ST01.4.5.rep.2.MN_S58"
"42","sample.ST01.4.rep.1.MB_S33"
"43","sample.ST01.4.rep.1.MN_S36"
"44","sample.ST01.4.rep.2.MB_S9"
"45","sample.ST01.4.rep.2.MN_S84"
"46","sample.ST01.5.5.rep.1.MB_S66"
"47","sample.ST01.5.5.rep.1.MN_S27"
"48","sample.ST01.5.5.rep.2.MB_S30"
"49","sample.ST01.5.5.rep.2.MN_S34"
"50","sample.ST01.5.rep.1.MB_S71"
"51","sample.ST01.5.rep.1.MN_S10"
"52","sample.ST01.5.rep.2.MB_S75"
"53","sample.ST01.5.rep.2.MN_S95"
"54","sample.ST01.6.5.rep.1.MB_S85"
"55","sample.ST01.6.5.rep.1.MN_S59"
"56","sample.ST01.6.5.rep.2.MB_S72"
"57","sample.ST01.6.5.rep.2.MN_S21"
"58","sample.ST01.6.rep.1.MB_S28"
"59","sample.ST01.6.rep.1.MN_S43"
"60","sample.ST01.6.rep.2.MB_S17"
"61","sample.ST01.6.rep.2.MN_S91"
"62","sample.ST01.7.5.rep.1.MB_S90"
"63","sample.ST01.7.5.rep.1.MN_S13"
"64","sample.ST01.7.5.rep.2.MB_S5"
"65","sample.ST01.7.5.rep.2.MN_S4"
"66","sample.ST01.7.rep.1.MB_S74"
"67","sample.ST01.7.rep.1.MN_S77"
"68","sample.ST01.7.rep.2.MB_S24"
"69","sample.ST01.7.rep.2.MN_S53"
"70","sample.ST01.8.5.rep.1.MB_S76"
"71","sample.ST01.8.5.rep.1.MN_S54"
"72","sample.ST01.8.5.rep.2.MB_S39"
"73","sample.ST01.8.5.rep.2.MN_S22"
"74","sample.ST01.8.rep.1.MB_S65"
"75","sample.ST01.8.rep.1.MN_S29"
"76","sample.ST01.8.rep.2.MB_S25"
"77","sample.ST01.8.rep.2.MN_S2"
"78","sample.ST01.9.5.rep.1.MB_S56"
"79","sample.ST01.9.5.rep.1.MN_S18"
"80","sample.ST01.9.5.rep.2.MB_S86"
"81","sample.ST01.9.5.rep.2.MN_S23"
"82","sample.ST01.9.rep.1.MB_S14"
"83","sample.ST01.9.rep.1.MN_S3"
"84","sample.ST01.9.rep.2.MB_S46"
"85","sample.ST01.9.rep.2.MN_S52"
