,Phyllum,,Total,sample.ST01.0.5.rep.1.MB_S42,sample.ST01.0.5.rep.1.MN_S93,sample.ST01.0.5.rep.2.MB_S38,sample.ST01.0.5.rep.2.MN_S96,sample.ST01.0.rep.1.MB_S8,sample.ST01.0.rep.1.MN_S57,sample.ST01.0.rep.2.MB_S61,sample.ST01.0.rep.2.MN_S37,sample.ST01.1.5.rep.1.MB_S67,sample.ST01.1.5.rep.1.MN_S32,sample.ST01.1.5.rep.2.MB_S11,sample.ST01.1.5.rep.2.MN_S73,sample.ST01.1.rep.1.MB_S19,sample.ST01.1.rep.1.MN_S55,sample.ST01.1.rep.2.MB_S70,sample.ST01.1.rep.2.MN_S51,sample.ST01.10.rep.1.MB_S7,sample.ST01.10.rep.1.MN_S1,sample.ST01.10.rep.2.MB_S79,sample.ST01.10.rep.2.MN_S44,sample.ST01.2.5.rep.1.MB_S63,sample.ST01.2.5.rep.1.MN_S60,sample.ST01.2.5.rep.2.MB_S48,sample.ST01.2.5.rep.2.MN_S94,sample.ST01.2.rep.1.MB_S62,sample.ST01.2.rep.1.MN_S68,sample.ST01.2.rep.2.MB_S6,sample.ST01.2.rep.2.MN_S87,sample.ST01.3.5.rep.1.MB_S12,sample.ST01.3.5.rep.1.MN_S81,sample.ST01.3.5.rep.2.MB_S41,sample.ST01.3.5.rep.2.MN_S69,sample.ST01.3.rep.1.MB_S40,sample.ST01.3.rep.1.MN_S50,sample.ST01.3.rep.2.MB_S89,sample.ST01.3.rep.2.MN_S88,sample.ST01.4.5.rep.1.MB_S47,sample.ST01.4.5.rep.1.MN_S26,sample.ST01.4.5.rep.2.MB_S45,sample.ST01.4.5.rep.2.MN_S58,sample.ST01.4.rep.1.MB_S33,sample.ST01.4.rep.1.MN_S36,sample.ST01.4.rep.2.MB_S9,sample.ST01.4.rep.2.MN_S84,sample.ST01.5.5.rep.1.MB_S66,sample.ST01.5.5.rep.1.MN_S27,sample.ST01.5.5.rep.2.MB_S30,sample.ST01.5.5.rep.2.MN_S34,sample.ST01.5.rep.1.MB_S71,sample.ST01.5.rep.1.MN_S10,sample.ST01.5.rep.2.MB_S75,sample.ST01.5.rep.2.MN_S95,sample.ST01.6.5.rep.1.MB_S85,sample.ST01.6.5.rep.1.MN_S59,sample.ST01.6.5.rep.2.MB_S72,sample.ST01.6.5.rep.2.MN_S21,sample.ST01.6.rep.1.MB_S28,sample.ST01.6.rep.1.MN_S43,sample.ST01.6.rep.2.MB_S17,sample.ST01.6.rep.2.MN_S91,sample.ST01.7.5.rep.1.MB_S90,sample.ST01.7.5.rep.1.MN_S13,sample.ST01.7.5.rep.2.MB_S5,sample.ST01.7.5.rep.2.MN_S4,sample.ST01.7.rep.1.MB_S74,sample.ST01.7.rep.1.MN_S77,sample.ST01.7.rep.2.MB_S24,sample.ST01.7.rep.2.MN_S53,sample.ST01.8.5.rep.1.MB_S76,sample.ST01.8.5.rep.1.MN_S54,sample.ST01.8.5.rep.2.MB_S39,sample.ST01.8.5.rep.2.MN_S22,sample.ST01.8.rep.1.MB_S65,sample.ST01.8.rep.1.MN_S29,sample.ST01.8.rep.2.MB_S25,sample.ST01.8.rep.2.MN_S2,sample.ST01.9.5.rep.1.MB_S56,sample.ST01.9.5.rep.1.MN_S18,sample.ST01.9.5.rep.2.MB_S86,sample.ST01.9.5.rep.2.MN_S23,sample.ST01.9.rep.1.MB_S14,sample.ST01.9.rep.1.MN_S3,sample.ST01.9.rep.2.MB_S46,sample.ST01.9.rep.2.MN_S52
Beania magellanica,,,1150,15,21,10,7,18,10,8,9,4,3,14,2,2,2,4,0,17,0,15,0,26,27,25,26,2,32,17,28,4,28,28,27,2,18,13,12,29,12,9,24,109,134,68,41,1,0,10,6,34,22,6,4,0,0,1,9,6,13,11,2,0,0,0,32,2,1,3,0,0,0,5,12,39,0,0,24,0,0,4,0,0,1,0,0
Betulaceae,,,566,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,7,10,1,18,2,0,4,0,2,0,0,2,1,2,1,3,1,10,1,1,4,8,2,2,0,0,2,2,29,9,2,0,4,0,16,7,8,10,10,0,0,6,72,31,14,31,14,5,0,0,0,33,0,0,26,6,10,4,4,30,0,35,27,31
Boreoeutheria,,,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
Calanoida,,,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,4,2,4,0,3,0,2,8,3,1,0,0,0,1,5,1,3,2,6,3,7,1,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candacia pachydactyla,,,64711,0,0,0,0,0,0,2,0,2,0,0,13,289,206,312,74,0,0,0,0,47,66,64,59,68,277,171,195,94,1790,2162,2094,44,314,902,373,3367,1918,2132,2959,1182,1956,1161,1465,255,105,1453,2043,2074,823,723,1965,3006,2648,3947,2332,1846,2178,1597,2636,1,1,2,1,1569,2448,3677,1002,3,172,6,289,110,3,4,0,0,1,1,12,0,0,13,7
Ceratophyllum,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,5,0
Chaetonotidae,Gastrotricha,csill—shasœak,282,14,17,18,55,40,38,48,35,0,2,5,0,3,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetonotus,Gastrotricha,csill—shasœak,5599,4,15,8,14,366,261,317,301,71,20,93,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,387,485,692,1,0,0,0,589,580,437,824,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,3,1,2,2,0,0,0,0,1,28,0
Chaetonotus sp. 1 TK-2012,,,4411,56,114,54,62,129,87,133,80,435,313,493,345,146,145,170,144,7,0,1,0,4,0,0,0,29,179,115,190,1,0,0,0,0,2,0,0,0,1,0,1,2,0,1,1,70,32,276,465,5,0,0,0,4,26,0,0,0,10,0,2,0,0,0,0,2,3,5,3,0,0,2,1,1,1,1,0,9,13,9,1,0,14,16,0
Chlamydomonadaceae,,,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,9,8,5,0,0,0,0,0,0,0,1,0,0,0,2,5,6,0,11,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
